gain,power_out,gain_dBW,power_out_dBW,gain_numerik,power_out_numerik,waktu
-79.390625,-470.40097500999997,-79.390625,-740.40097501,0.03808888296327579,0.0005148068069517348,2024-07-04 00:07:00
-78.1875,-470.3960191,-78.1875,-740.3960191,0.04034683931274896,0.0005151035285076639,2024-07-04 00:14:00
-78.25,-470.31073096,-78.25,-740.31073096,0.03992370740857334,0.0005154122541011445,2024-07-04 00:21:00
-78.703125,-470.32853775,-78.703125,-740.32853775,0.03908018570451509,0.0005158120251342901,2024-07-04 00:28:00
-78.890625,-470.35920262999997,-78.890625,-740.35920263,0.03883381609456674,0.0005155577973425306,2024-07-04 00:35:00
-78.8125,-470.333984,-78.8125,-740.333984,0.03896815583464475,0.0005168717841710369,2024-07-04 00:42:00
-78.5,-470.32463091,-78.5,-740.32463091,0.03953958999843551,0.0005161444621173007,2024-07-04 00:49:00
-79.3125,-470.36881735,-79.3125,-740.36881735,0.03808907583519776,0.000514689013091314,2024-07-04 00:56:00
-77.796875,-470.30219983,-77.796875,-740.3021998300001,0.040618457215732075,0.0005170610670145782,2024-07-04 01:03:00
-76.734375,-470.37033341,-76.734375,-740.3703334100001,0.04242494497886977,0.000515282857978583,2024-07-04 01:10:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 01:17:00
-77.6875,-470.31904095,-77.6875,-740.31904095,0.04071815776538834,0.0005161804000587975,2024-07-04 01:24:00
-77.828125,-470.24663446,-77.828125,-740.24663446,0.04048049831200196,0.0005171426199685655,2024-07-04 01:31:00
-78.8125,-470.29136391,-78.8125,-740.29136391,0.03892793639749288,0.0005152883007846496,2024-07-04 01:38:00
-78.078125,-470.3283166,-78.078125,-740.3283166,0.040455865745047295,0.0005164410816742063,2024-07-04 01:45:00
-77.5,-470.33021749,-77.5,-740.33021749,0.040744181666311365,0.0005171067110843706,2024-07-04 01:52:00
-76.796875,-470.3797209,-76.796875,-740.3797209,0.042195706153377824,0.0005149371555499166,2024-07-04 01:59:00
-76.71875,-470.32550693,-76.71875,-740.32550693,0.042193696692974264,0.000516136827743287,2024-07-04 02:06:00
-77.8125,-470.36209223000003,-77.8125,-740.36209223,0.040162799426978285,0.0005158412079695422,2024-07-04 02:13:00
-77.578125,-470.30038648,-77.578125,-740.30038648,0.040673417263621905,0.0005152751490092994,2024-07-04 02:20:00
-78.03125,-470.42986222,-78.03125,-740.4298622199999,0.039955976687970546,0.000515638381435384,2024-07-04 02:27:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 02:34:00
-77.78125,-470.34056044,-77.78125,-740.34056044,0.040144380509712516,0.0005158040586148131,2024-07-04 02:41:00
-78.671875,-470.33563637,-78.671875,-740.33563637,0.03885662577419843,0.0005160804201048381,2024-07-04 02:48:00
-77.703125,-470.34125335,-77.703125,-740.34125335,0.04030597746735597,0.0005173989391684755,2024-07-04 02:55:00
-74.484375,-470.33060791,-74.484375,-740.33060791,0.04586572445175305,0.0005171411620576979,2024-07-04 03:02:00
-76.703125,-470.35122447,-76.703125,-740.35122447,0.04198519187319315,0.0005155786389050961,2024-07-04 03:09:00
-76.15625,-470.38361662,-76.15625,-740.38361662,0.04276025281479269,0.0005161431593922029,2024-07-04 03:16:00
-77.078125,-470.30132265,-77.078125,-740.30132265,0.041359453194470444,0.0005174942472577018,2024-07-04 03:23:00
-76.890625,-470.33665007999997,-76.890625,-740.33665008,0.04179118335402244,0.0005160700170084647,2024-07-04 03:30:00
-76.171875,-470.28071229,-76.171875,-740.28071229,0.04299937294371609,0.0005156566572583588,2024-07-04 03:37:00
-77.390625,-470.23900518,-77.390625,-740.2390051799999,0.04096751398847859,0.0005171705583962114,2024-07-04 03:44:00
-74.4375,-470.30966949,-74.4375,-740.30966949,0.0466202307651605,0.0005164340252748363,2024-07-04 03:51:00
-73.125,-470.30500596,-73.125,-740.30500596,0.04938768394448319,0.0005177372120948701,2024-07-04 03:58:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 04:05:00
-76.796875,-470.26240182,-76.796875,-740.26240182,0.04216983483896325,0.000517454843334712,2024-07-04 04:12:00
-76.234375,-470.32094779,-76.234375,-740.32094779,0.04293463797350126,0.0005163170250904416,2024-07-04 04:19:00
-75.96875,-470.28945474,-75.96875,-740.28945474,0.04379976497391003,0.0005165925070419579,2024-07-04 04:26:00
-76.921875,-470.39070315,-76.921875,-740.39070315,0.04155816351393469,0.0005144617143490191,2024-07-04 04:33:00
-76.234375,-470.31551253,-76.234375,-740.31551253,0.04296507207294634,0.0005164478083729536,2024-07-04 04:40:00
-78.671875,-470.29680644999996,-78.671875,-740.29680645,0.03932704265935405,0.0005156565131014996,2024-07-04 04:47:00
-76.5,-470.33503929,-76.5,-740.3350392899999,0.04223835237129413,0.0005165284668729144,2024-07-04 04:54:00
-77.90625,-470.19360972,-77.90625,-740.19360972,0.04009394740541636,0.0005170483303735971,2024-07-04 05:01:00
-77.734375,-470.2711885,-77.734375,-740.2711885,0.04104502076413493,0.0005169805786817206,2024-07-04 05:08:00
-77.171875,-470.30828581,-77.171875,-740.30828581,0.04164160863308919,0.0005168584363279762,2024-07-04 05:15:00
-78.6875,-470.34302247,-78.6875,-740.34302247,0.03923762210637961,0.0005167204084641784,2024-07-04 05:22:00
-78.296875,-470.3245572,-78.296875,-740.3245572000001,0.03946240778050484,0.0005175946753832209,2024-07-04 05:29:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 05:36:00
-76.109375,-470.40188287,-76.109375,-740.40188287,0.04297685700477695,0.000515729315206755,2024-07-04 05:43:00
-78.296875,-470.26078748,-78.296875,-740.26078748,0.03966810567580593,0.0005163300732712521,2024-07-04 05:50:00
-50.171875,-470.34406184,-50.171875,-740.34406184,0.31284534828585714,0.0005164809316803601,2024-07-04 05:57:00
-35.0,-470.33864295,-35.0,-740.33864295,1.2414139539434204,0.0005153566116527405,2024-07-04 06:04:00
-52.109375,-470.32041449,-52.109375,-740.32041449,0.23843352533926518,0.0005156877067505749,2024-07-04 06:11:00
-69.484375,-470.28525865,-69.484375,-740.2852586500001,0.05756445690592804,0.0005185178820518741,2024-07-04 06:18:00
-74.875,-470.28007097,-74.875,-740.28007097,0.04469989303621135,0.0005164903902080759,2024-07-04 06:25:00
-75.140625,-470.32343204,-75.140625,-740.3234320400001,0.04441169314556788,0.0005178008853744,2024-07-04 06:32:00
-77.34375,-470.41885611,-77.34375,-740.41885611,0.04075875734808497,0.0005149082244202459,2024-07-04 06:39:00
-76.71875,-470.26417094,-76.71875,-740.26417094,0.042254891234402805,0.0005176029295977067,2024-07-04 06:46:00
-76.390625,-470.32163077,-76.390625,-740.32163077,0.04215754342826118,0.0005174601582816366,2024-07-04 06:53:00
-77.59375,-470.32560157,-77.59375,-740.32560157,0.040610970139441184,0.0005150598815165629,2024-07-04 07:00:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 07:07:00
-75.828125,-470.32704135,-75.828125,-740.32704135,0.04363148304868653,0.0005170945237347096,2024-07-04 07:14:00
-77.578125,-470.31308735,-77.578125,-740.3130873499999,0.04084729474236487,0.0005165469778097613,2024-07-04 07:21:00
-75.65625,-470.27637556999997,-75.65625,-740.27637557,0.044064905360271085,0.000516347308801389,2024-07-04 07:28:00
-77.046875,-470.32580787,-77.046875,-740.32580787,0.04192289040150633,0.0005156680338282567,2024-07-04 07:35:00
