waktu,gain,power,gain(dBW),power (dBW),gain (numerik),power (numerik),sum gain (numerik),sum power (numerik),sum gain (dB),sum power (dB)
35:22.0,14.828125,-38.07333333,14.828125,-68.07333333,30.39572453,1.55836E-07,10483.17196,8.68712E-07,,
35:22.0,10.09375,-41.06142857,10.09375,-71.06142857,10.21821414,7.83172E-08,,,,
35:15.0,9.53125,-43.51764706,9.53125,-73.51764706,8.976871324,4.44872E-08,,,,
35:15.0,8.015625,-48.47272727,8.015625,-78.47272727,6.332314845,1.42144E-08,,,,
35:15.0,8.5,-47.59307692,8.5,-77.59307692,7.079457844,1.74057E-08,,,,
35:15.0,9.46875,-44.53846154,9.46875,-74.53846154,8.848608897,3.51685E-08,,,,
35:15.0,9.5,-45.77,9.5,-75.77,8.912509381,2.6485E-08,,,,
35:15.0,9.734375,-41.86769231,9.734375,-71.86769231,9.406704469,6.50475E-08,,,,
35:15.0,9.359375,-37.92,9.359375,-67.92,8.628543641,1.61436E-07,,,,
35:15.0,11.484375,-41.26428571,11.484375,-71.26428571,14.07464663,7.47432E-08,,,,
35:15.0,9.6875,-37.74,9.6875,-67.74,9.305720409,1.68267E-07,,,,
35:08.0,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
35:08.0,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
35:08.0,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
35:08.0,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
35:08.0,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
35:08.0,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
35:08.0,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
35:08.0,11.609375,-49.2,11.609375,-79.2,14.48563374,1.20226E-08,,,,
35:08.0,10.296875,-48.58571429,10.296875,-78.58571429,10.70748562,1.38493E-08,,,,
27:47.0,15.125,-38.06666667,15.125,-68.06666667,32.54617835,1.56075E-07,,,,
27:47.0,10.375,-41.06785714,10.375,-71.06785714,10.90184492,7.82014E-08,,,,
27:40.0,9.765625,-43.56470588,9.765625,-73.56470588,9.474635257,4.40078E-08,,,,
27:40.0,7.890625,-48.42272727,7.890625,-78.42272727,6.152654101,1.4379E-08,,,,
27:40.0,8.390625,-47.55846154,8.390625,-77.55846154,6.903391445,1.7545E-08,,,,
27:40.0,9.75,-44.53076923,9.75,-74.53076923,9.440608763,3.52308E-08,,,,
27:40.0,9.375,-45.74,9.375,-75.74,8.659643234,2.66686E-08,,,,
27:40.0,9.875,-41.85076923,9.875,-71.85076923,9.716279516,6.53015E-08,,,,
27:40.0,9.234375,-37.92666667,9.234375,-67.92666667,8.383734183,1.61188E-07,,,,
27:40.0,11.5625,-41.26428571,11.5625,-71.26428571,14.3301257,7.47432E-08,,,,
27:40.0,10.34375,-37.758,10.34375,-67.758,10.8236814,1.67571E-07,,,,
27:33.0,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
27:33.0,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
27:33.0,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
27:33.0,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
27:33.0,-44.34375,-71.43142857,-44.34375,-101.4314286,3.67811E-05,7.19212E-11,,,,
27:33.0,-40.75,-67.86875,-40.75,-97.86875,8.41395E-05,1.63352E-10,,,,
27:33.0,-40.65625,-67.75,-40.65625,-97.75,8.59756E-05,1.6788E-10,,,,
27:33.0,11.328125,-49.17894737,11.328125,-79.17894737,13.57727142,1.20811E-08,,,,
27:33.0,10.03125,-48.57142857,10.03125,-78.57142857,10.07221529,1.3895E-08,,,,
20:12.0,15.1875,-38.06666667,15.1875,-68.06666667,33.01794198,1.56075E-07,,,,
20:12.0,9.609375,-41.055,9.609375,-71.055,9.139816995,7.84332E-08,,,,
20:05.0,9.40625,-43.52352941,9.40625,-73.52352941,8.722179097,4.4427E-08,,,,
20:05.0,7.734375,-48.40909091,7.734375,-78.40909091,5.935229272,1.44242E-08,,,,
20:05.0,8.25,-47.58615385,8.25,-77.58615385,6.683439176,1.74335E-08,,,,
20:05.0,9.3125,-44.52307692,9.3125,-74.52307692,8.535913393,3.52933E-08,,,,
20:05.0,9.1875,-45.795,9.1875,-75.795,8.293732045,2.6333E-08,,,,
20:05.0,9.34375,-41.86769231,9.34375,-71.86769231,8.597555737,6.50475E-08,,,,
20:05.0,9,-37.9,9,-67.9,7.943282347,1.62181E-07,,,,
20:05.0,11.203125,-41.24285714,11.203125,-71.24285714,13.19205642,7.51129E-08,,,,
20:05.0,9.78125,-37.758,9.78125,-67.758,9.508784391,1.67571E-07,,,,
19:58.0,-41.828125,-68.8925,-41.828125,-98.8925,6.56429E-05,1.29048E-10,,,,
19:58.0,-42.984375,-70.02105263,-42.984375,-100.0210526,5.02994E-05,9.95164E-11,,,,
19:58.0,-43.1875,-70.25555556,-43.1875,-100.2555556,4.8001E-05,9.42854E-11,,,,
19:58.0,-42.421875,-69.50454545,-42.421875,-99.50454545,5.72549E-05,1.12084E-10,,,,
